FromTableName,FromColumnName,ToTableName,ToColumnName,IsActive,Cardinality,CrossFilteringBehavior,FromKeyCount,ToKeyCount,RelyOnReferentialIntegrity
Fora do Prazo,Data do Processo + 15 dias,,,1,M:1,Single,665.0,,0
Fora do Prazo,Data do Processo,,,1,M:1,Single,665.0,,0
Contas a Pagar,Vencimento,,,1,M:1,Single,1800.0,,0
Fracao Ideal,DataCad_unid,,,1,M:1,Single,193.0,,0
Fracao Ideal,DataEntregaChaves_unid,,,1,M:1,Single,6.0,,0
dCalendário,DATA,,,1,M:1,Single,14977.0,,0
dCalendário,DT REFERENCIA,,,1,M:1,Single,495.0,,0
dCalendário,DT ATUALIZAÇÃO,,,1,M:1,Single,4.0,,0
Contas a Pagar,Empresa,Empresas,Codigo_emp,1,M:1,Single,106.0,,0
Fracao Ideal,Empresa_unid,Empresas,Codigo_emp,1,M:1,Single,66.0,,0
Saldos Gerenciais,Empresa_sdcc,Empresas,Codigo_emp,1,M:1,Single,99.0,,0
Fora do Prazo,Empresa_pag,Empresas,Codigo_emp,1,M:1,Single,96.0,,0
Juros e Multas,empresa_pag,Empresas,Codigo_emp,1,M:1,Single,95.0,,0
Saldos Gerenciais,Data_sdcc,dCalendário,DATA,1,M:1,Single,2471.0,,0
Contas Recebidas,Data Deposito,dCalendário,DATA,1,M:1,Single,1903.0,,0
Contas a Pagar,Prorrogação,dCalendário,DATA,1,M:1,Single,1379.0,,0
Juros e Multas,dataemissao_pag,dCalendário,DATA,1,M:1,Single,876.0,,0
Juros e Multas,DataVencParc_Pag,,,1,M:1,Single,1129.0,,0
Contas Recebidas,empresa_rec,Empresas,Codigo_emp,1,M:1,Single,66.0,,0
Teste,,,,1,M:1,Single,189.0,,0
Fora do Prazo,DataEmissao_Pag,dCalendário,DATA,1,M:1,Single,257.0,,0
Processos de Pagamento,DataDocFiscal,,,1,M:1,Single,1627.0,,0
Processos de Pagamento,DataAprovData,,,1,M:1,Single,1654.0,,0
Processos de Pagamento,DataConfValor,,,1,M:1,Single,1688.0,,0
Processos de Pagamento,DataConfQuantidade,,,1,M:1,Single,1716.0,,0
Processos de Pagamento,DataConfirmacaoPgto,,,1,M:1,Single,1169.0,,0
Processos de Pagamento,DataVencimento,,,1,M:1,Single,3531.0,,0
